user_id,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
28808300,27,30,149,149,1,9/6/2018,10/5/2018,0
18154,41,30,149,149,1,6/24/2018,7/24/2018,0
267534649,38,30,149,149,0,9/11/2019,10/11/2019,0
61292850,41,30,99,99,1,1/24/2020,2/24/2020,0
430703960,41,30,149,149,1,1/17/2020,2/17/2020,0
104428783,35,7,0,0,0,8/30/2019,9/4/2019,0
51190723,38,30,149,149,0,12/23/2018,1/27/2019,0
235256223,41,30,149,0,1,9/25/2018,9/30/2018,1
113480592,41,30,99,99,1,7/30/2018,8/31/2018,0
207277097,35,7,0,0,0,10/30/2019,11/6/2019,0
51899178,41,30,149,149,1,8/31/2019,10/3/2019,0
169944064,41,30,99,99,1,7/9/2019,8/8/2019,0
111746639,41,30,149,149,1,12/24/2018,1/24/2019,0
180519763,41,30,149,149,1,11/1/2018,12/1/2018,0
102185878,34,30,149,149,1,3/6/2019,3/6/2019,1
153605969,41,30,149,149,1,6/30/2018,7/31/2018,0
178893612,41,30,149,0,1,11/21/2018,12/21/2018,0
162775750,35,7,0,0,0,9/7/2019,9/12/2019,0
219355343,39,30,149,149,1,7/6/2018,8/18/2018,1
61062273,41,30,99,99,1,1/7/2020,2/7/2020,0
225772624,41,30,129,129,1,11/21/2018,12/22/2018,0
56389390,39,31,149,149,1,1/31/2018,3/4/2018,0
32334189,41,30,99,99,1,12/9/2019,1/9/2020,0
460854300,41,30,99,99,1,2/14/2020,3/14/2020,0
160677372,41,30,99,99,1,10/31/2019,11/30/2019,0
64345826,35,7,0,0,0,11/24/2018,11/25/2018,0
194954209,41,30,99,99,1,10/9/2019,11/9/2019,0
37870646,27,30,149,149,1,6/15/2019,8/4/2019,0
38499199,41,30,99,99,1,9/12/2019,10/12/2019,0
68950614,34,0,0,149,1,3/31/2018,4/30/2018,0
103881458,41,30,99,99,1,1/22/2020,2/22/2020,0
151143518,41,30,149,149,1,10/15/2019,11/15/2019,0
31336338,41,30,149,149,1,10/17/2018,10/17/2018,1
68292748,41,30,129,129,1,1/14/2019,2/15/2019,0
193128868,41,30,99,99,1,4/1/2019,5/1/2019,0
162502224,37,30,149,149,1,12/15/2018,1/14/2019,0
213150898,41,30,99,99,1,11/22/2019,12/22/2019,0
21603906,39,31,149,149,1,2/28/2018,4/17/2018,0
49040857,41,30,99,99,1,7/3/2019,8/8/2019,0
63937599,38,30,149,149,0,5/22/2019,6/21/2019,0
416688709,40,30,149,149,1,6/3/2018,7/1/2018,1
94908847,40,30,149,149,1,4/26/2019,8/21/2019,0
149640308,34,0,0,149,1,3/31/2018,4/30/2018,0
43322896,41,30,99,99,1,10/31/2018,11/30/2018,0
266481096,37,30,149,149,1,10/28/2018,11/27/2018,0
158319135,31,30,149,149,1,5/31/2019,6/30/2019,0
123930395,40,30,149,149,1,5/6/2019,6/5/2019,0
114767546,41,30,149,149,1,4/3/2018,5/3/2018,0
46763057,34,30,149,149,1,4/30/2019,5/31/2019,0
63266159,39,30,149,149,1,7/31/2018,9/18/2018,0
140064798,41,0,0,129,1,5/7/2018,6/8/2018,0
101134563,41,30,149,149,1,6/17/2018,7/17/2018,0
160426174,38,30,149,149,0,2/15/2020,3/17/2020,0
246380407,41,30,99,99,1,6/23/2019,7/23/2019,0
113839033,39,30,149,149,1,10/31/2019,12/3/2019,0
480441082,40,31,149,149,1,2/11/2018,3/10/2018,0
196929537,41,30,99,99,1,8/10/2019,9/10/2019,0
506037259,41,30,99,99,1,3/20/2019,4/20/2019,0
108793745,41,30,129,129,1,12/2/2019,1/2/2020,0
12640214,39,30,149,149,1,9/30/2019,11/18/2019,0
154277228,41,30,99,99,1,2/27/2019,3/27/2019,0
131552821,41,30,149,149,1,8/9/2019,9/9/2019,0
21100670,41,30,99,99,1,11/30/2019,12/31/2019,0
11525722,41,30,149,149,1,10/13/2018,11/13/2018,0
73003997,40,30,149,149,1,4/6/2019,5/26/2019,0
507285150,41,30,149,149,1,3/22/2019,4/22/2019,0
41205061,41,30,149,149,1,7/10/2018,8/11/2018,0
45856397,38,30,149,149,0,4/5/2018,5/5/2018,0
32061583,41,30,99,99,1,11/26/2019,12/26/2019,0
49137246,40,31,149,149,1,3/5/2018,4/4/2018,0
81628627,36,30,180,180,1,4/7/2019,5/6/2019,0
466828186,41,30,99,99,1,6/17/2019,7/17/2019,0
511870185,39,31,149,149,1,1/31/2018,3/14/2018,0
57626876,38,30,149,149,0,1/31/2018,3/2/2018,0
54022306,40,30,149,149,1,5/9/2019,6/8/2019,0
477311392,39,0,0,149,1,4/30/2018,6/17/2018,0
29901880,41,30,99,99,1,1/28/2019,2/28/2019,0
155987589,32,180,536,536,0,6/30/2019,1/6/2020,0
449257620,38,30,149,149,0,2/12/2020,3/14/2020,0
60403119,41,30,149,149,1,6/5/2019,9/19/2019,0
42536152,41,30,149,149,1,2/11/2018,3/12/2018,0
170064946,41,30,99,99,1,10/7/2019,11/7/2019,0
69560410,41,30,120,120,1,2/18/2019,2/18/2019,1
183569751,39,30,149,149,1,9/30/2018,11/6/2018,0
418374168,32,195,894,894,0,6/16/2018,12/28/2018,0
29600856,40,30,149,149,1,6/11/2019,6/10/2019,1
102489251,41,30,149,149,1,1/3/2018,2/5/2019,0
102956820,41,30,149,149,1,9/15/2018,10/15/2018,0
408707982,41,30,149,149,1,9/14/2018,10/14/2018,0
136816566,41,30,129,129,1,4/30/2019,5/31/2019,0
13037,41,30,99,99,1,3/14/2019,4/14/2019,0
17759,41,30,149,149,1,1/31/2019,2/28/2019,0
90017720,41,30,149,149,1,7/3/2018,8/3/2018,0
77380975,41,30,99,99,1,5/31/2019,6/30/2019,0
106948767,40,30,149,149,1,4/4/2019,5/3/2019,0
149481748,39,0,0,149,1,4/30/2018,6/20/2018,0
436848986,41,30,149,149,1,8/31/2019,9/30/2019,0
53732847,33,0,0,149,1,10/31/2018,11/30/2018,0
77147117,41,30,149,119,1,6/23/2018,7/23/2018,0
15504,37,30,149,149,1,12/28/2019,1/27/2020,0
109027788,41,30,149,149,1,8/20/2019,9/20/2019,0
85470905,41,30,149,149,1,11/10/2018,11/11/2018,1
53875045,36,30,180,180,1,6/26/2019,7/25/2019,0
16690,39,30,149,149,1,8/31/2019,10/1/2019,0
47305098,41,30,149,149,1,9/15/2019,10/15/2019,0
167812476,38,30,149,149,0,1/2/2019,2/1/2019,0
16416,41,30,149,149,1,10/6/2018,11/6/2018,0
47918573,38,30,149,149,0,2/25/2019,3/26/2019,0
15665,41,30,149,149,1,9/10/2018,10/10/2018,0
44741426,41,30,149,149,1,2/8/2018,3/8/2018,0
25382469,41,30,149,149,1,12/13/2018,1/13/2019,0
84303902,33,0,0,149,1,6/30/2018,7/31/2018,0
118254898,41,30,99,99,1,9/7/2018,10/7/2018,0
58523310,41,30,99,99,1,8/24/2019,9/24/2019,0
431644708,29,30,180,180,0,6/27/2019,7/27/2019,0
160684273,41,30,99,99,1,2/18/2020,3/19/2020,0
16415,37,30,149,149,1,7/10/2018,8/10/2018,0
140780618,41,30,99,99,1,12/4/2018,1/3/2019,0
261368782,41,30,149,149,1,11/23/2019,12/23/2019,0
197772715,41,30,99,99,1,10/23/2018,11/23/2018,0
133330726,41,30,129,129,1,9/19/2019,10/19/2019,0
94572313,31,30,149,149,1,11/30/2018,12/31/2018,0
108154973,41,30,149,149,1,7/3/2018,8/3/2018,0
484648416,41,30,99,99,1,12/8/2018,1/8/2019,0
59362609,41,30,99,99,1,10/31/2019,11/30/2019,0
442194441,40,30,149,149,1,6/17/2019,7/16/2019,0
15098,41,30,99,99,1,9/30/2019,12/1/2019,0
52366537,41,30,99,99,1,6/2/2019,7/2/2019,0
132357963,39,30,149,149,1,6/30/2018,7/13/2018,1
112407960,41,30,149,149,1,2/13/2020,3/13/2020,0
76335305,41,30,99,99,1,10/10/2019,11/11/2019,0
96738828,40,31,149,149,1,2/25/2018,3/24/2018,0
158388504,41,30,149,149,1,11/19/2018,12/20/2018,0
132853856,38,30,149,149,0,6/29/2019,7/29/2019,0
201685898,37,30,149,149,1,10/7/2019,11/6/2019,0
108740571,37,30,149,149,1,8/14/2018,9/14/2018,0
79365611,41,30,149,0,1,12/20/2018,12/20/2018,1
15246,35,7,0,0,0,6/9/2018,6/15/2018,0
14403,41,30,149,149,1,4/20/2019,5/20/2019,0
137429131,40,30,149,149,1,7/26/2019,8/25/2019,0
196891596,41,30,149,149,1,1/11/2018,2/11/2018,0
25768903,41,30,99,99,1,6/3/2019,7/3/2019,0
70975829,39,31,149,149,1,2/28/2018,4/27/2018,0
463929210,40,30,149,149,1,7/11/2019,8/10/2019,0
53441827,41,30,149,149,1,6/2/2019,7/2/2019,0
105176206,41,30,99,99,1,9/1/2019,10/2/2019,0
178881167,35,7,0,0,0,11/16/2019,11/23/2019,0
129372278,41,30,129,129,1,4/11/2019,5/12/2019,0
119833108,36,30,150,150,0,4/2/2019,5/2/2019,0
64848312,41,30,99,99,1,1/8/2019,2/8/2019,0
473743921,40,30,149,149,1,3/17/2019,4/17/2019,0
84929805,40,0,0,149,1,5/12/2018,6/13/2018,0
122139612,41,30,149,149,1,2/5/2018,3/5/2018,0
435466098,36,30,180,180,0,1/14/2020,2/13/2020,0
259079897,41,30,129,129,1,1/22/2020,2/23/2020,0
94593390,38,30,149,149,0,7/3/2018,8/2/2018,0
56758194,39,30,149,149,1,9/30/2019,11/24/2019,0
174696179,38,30,149,149,0,12/31/2019,1/30/2020,0
143791618,41,30,99,99,1,11/30/2018,12/31/2018,0
220013806,38,195,894,894,0,5/7/2019,11/18/2019,0
124970235,40,30,149,149,1,9/25/2018,10/31/2018,0
86289648,37,30,149,149,1,4/25/2019,5/25/2019,0
41136772,40,30,149,149,1,12/7/2018,1/6/2019,0
475713546,41,30,149,149,1,7/10/2018,8/10/2018,0
512012922,38,30,149,149,0,7/30/2018,8/29/2018,0
438452763,41,30,99,99,1,2/25/2019,3/25/2019,0
102510112,41,30,134,134,1,2/28/2018,8/17/2018,0
270777131,30,30,149,149,1,6/20/2019,7/19/2019,0
46625523,41,30,149,149,1,4/4/2018,4/4/2018,1
195905483,41,30,149,149,1,8/7/2018,9/7/2018,0
16607,30,30,129,129,1,12/3/2019,1/2/2020,0
80255611,37,30,149,149,1,2/1/2019,2/28/2019,0
54646564,40,30,149,149,1,10/2/2018,11/6/2018,0
115857227,41,30,149,149,1,11/17/2019,12/17/2019,0
49337529,39,30,149,149,1,9/30/2019,11/18/2019,0
96980887,41,30,149,149,1,4/6/2018,5/6/2018,0
65035842,41,30,99,99,1,1/5/2020,2/4/2020,0
203513507,41,30,149,149,1,9/1/2019,10/1/2019,0
32530896,37,30,149,149,1,11/20/2019,12/20/2019,0
38791608,38,30,149,149,0,6/24/2018,7/24/2018,0
72265810,41,30,149,0,1,3/28/2019,3/28/2019,1
14506,41,30,149,149,1,2/28/2018,4/1/2018,0
497261899,33,30,149,149,1,6/30/2019,7/31/2019,0
48115187,39,30,149,149,1,11/2/2018,12/27/2018,0
84639976,41,30,149,149,1,8/10/2018,9/10/2018,0
168302598,41,30,99,99,1,9/9/2019,10/9/2019,0
260370255,40,30,149,149,1,9/15/2018,10/17/2018,0
229718022,39,30,149,149,1,12/31/2019,2/3/2020,0
29101563,41,30,99,99,1,1/31/2020,2/28/2020,0
39336615,39,30,149,149,1,11/2/2018,12/25/2018,0
158302311,41,30,99,99,1,3/20/2019,4/20/2019,0
494072929,41,30,149,0,1,8/17/2018,8/23/2018,1
104329750,39,31,149,149,1,1/31/2018,3/23/2018,0
447453226,41,30,149,149,1,8/4/2018,9/4/2018,0
131991260,38,30,149,149,0,11/19/2019,12/19/2019,0
142055874,41,30,149,149,1,6/7/2019,7/8/2019,0
18177,38,30,149,149,0,3/15/2019,4/14/2019,0
34711476,39,30,149,149,1,1/31/2019,3/24/2019,0
488056260,41,30,149,149,1,6/6/2018,7/7/2018,0
114590271,41,30,99,99,1,4/26/2019,5/26/2019,0
210870698,41,30,99,99,1,5/16/2019,6/16/2019,0
144895445,41,30,149,149,1,12/19/2018,1/20/2019,0
159978505,39,30,149,149,1,8/31/2018,10/11/2018,0
22976167,38,195,894,894,0,1/26/2019,8/11/2019,0
117482009,41,30,99,99,1,12/12/2019,1/12/2020,0
50631174,40,30,149,149,1,9/23/2019,9/22/2019,1
448216892,35,7,0,0,0,6/6/2018,6/15/2018,0
30706855,41,30,99,99,1,5/1/2019,6/1/2019,0
249970651,41,30,99,99,1,10/2/2019,11/2/2019,0
61060853,41,30,149,149,1,12/15/2018,1/16/2019,0
212744599,34,30,149,149,1,4/30/2019,5/31/2019,0
15187,40,30,149,149,1,11/1/2019,12/8/2019,0
123999058,34,30,149,149,1,2/28/2020,3/31/2020,0
58613768,33,30,149,149,1,6/30/2019,7/31/2019,0
59299854,41,30,99,99,1,11/3/2019,12/3/2019,0
81764480,38,30,149,149,0,6/27/2018,7/27/2018,0
80655836,41,30,149,149,1,11/20/2019,12/21/2019,0
49839696,40,31,149,149,1,3/17/2018,4/16/2018,0
168657671,41,30,99,99,1,9/26/2019,10/26/2019,0
45213627,41,30,99,99,1,7/9/2018,8/9/2018,0
503962641,41,30,99,99,1,10/23/2019,11/23/2019,0
216720677,41,30,149,149,1,8/18/2019,9/18/2019,0
125929209,41,30,99,99,1,2/18/2019,3/17/2019,0
122681480,41,30,99,99,1,11/16/2018,12/16/2018,0
80620714,41,30,129,129,1,7/10/2019,8/11/2019,0
468346143,37,30,149,149,1,8/5/2018,9/4/2018,0
51279523,41,30,99,99,1,12/4/2019,1/4/2020,0
74488250,41,30,149,149,1,2/29/2020,4/1/2020,0
44980954,41,30,149,149,1,11/1/2018,12/1/2018,0
45813923,38,30,149,149,0,1/14/2019,2/13/2019,0
475081054,41,30,99,99,1,12/18/2018,1/18/2019,0
276214717,41,30,149,149,1,11/4/2019,12/4/2019,0
127346013,41,30,129,129,1,6/27/2019,7/27/2019,0
159680204,41,30,149,149,1,3/14/2019,4/15/2019,0
37419723,41,30,99,99,1,3/8/2019,4/8/2019,0
403758240,41,30,149,149,1,9/22/2018,10/23/2018,0
61816233,41,30,149,149,1,12/3/2019,1/3/2020,0
172565164,41,30,149,149,1,5/22/2019,6/22/2019,0
119329074,41,30,99,99,1,8/1/2019,8/1/2019,1
95388217,40,31,149,0,1,1/5/2018,2/4/2018,0
58345878,41,30,99,99,1,1/15/2019,2/14/2019,0
215806319,41,30,149,149,1,1/6/2019,2/6/2019,0
256464108,39,30,149,149,1,11/30/2019,1/14/2020,0
61863236,39,30,149,149,1,12/2/2018,1/23/2019,0
404256226,38,360,1200,1200,0,1/8/2019,1/2/2020,0
114245632,38,30,149,149,0,5/23/2019,6/22/2019,0
115487846,41,30,149,149,1,12/22/2019,1/22/2020,0
503807899,39,30,149,149,1,10/31/2019,12/4/2019,0
231636601,41,30,149,149,1,8/31/2019,9/30/2019,0
38566404,41,30,99,99,1,6/20/2019,7/20/2019,0
17234,41,30,99,99,1,9/30/2019,10/31/2019,0
41681115,39,0,0,149,1,4/30/2018,6/25/2018,0
499397780,35,7,0,0,0,11/7/2019,11/14/2019,0
66949711,41,30,99,99,1,9/20/2019,10/20/2019,0
38901874,33,0,0,149,1,7/31/2018,8/31/2018,0
509143690,36,30,180,180,0,1/31/2020,3/2/2020,0
29529103,41,30,129,129,1,12/6/2018,1/7/2019,0
17293,36,30,180,180,0,2/9/2020,3/11/2020,0
86580469,41,30,99,99,1,2/26/2020,3/26/2020,0
54498880,41,30,99,99,1,8/26/2019,9/26/2019,0
400869189,33,30,149,149,1,2/29/2020,3/31/2020,0
28064707,41,30,99,99,1,10/21/2019,11/21/2019,0
15877,35,7,0,0,0,10/24/2019,10/31/2019,0
49831709,33,30,149,149,1,9/30/2019,12/25/2019,0
31849605,41,30,149,0,1,12/27/2018,1/26/2019,0
13149,35,7,0,0,0,11/20/2019,11/27/2019,0
262521954,38,30,149,149,0,4/4/2018,5/4/2018,0
177776510,37,30,149,149,1,1/5/2020,2/5/2020,0
33593983,41,30,99,99,1,10/31/2019,11/30/2019,0
171089639,33,0,0,149,1,8/31/2018,9/30/2018,0
185861725,39,30,149,149,1,2/26/2020,3/8/2020,1
50582215,40,30,149,149,1,10/13/2019,11/12/2019,0
151659141,36,30,180,180,1,12/7/2019,1/6/2020,0
28579002,21,0,0,149,1,4/30/2018,6/4/2018,0
27645199,41,30,149,149,1,4/10/2019,5/10/2019,0
144740532,36,30,180,180,0,4/25/2019,5/25/2019,0
43899589,41,30,149,149,1,11/5/2019,12/6/2019,0
46918089,40,31,149,149,1,4/20/2018,5/19/2018,0
76862862,41,30,99,99,1,5/22/2019,6/22/2019,0
178963667,41,30,149,149,1,3/18/2018,4/18/2018,0
115129388,36,30,180,180,1,10/11/2019,11/10/2019,0
49180001,40,0,0,149,1,5/7/2018,6/6/2018,0
197886470,34,0,0,149,1,7/31/2018,8/31/2018,0
502139345,41,30,99,99,1,6/11/2019,7/10/2019,0
216881134,41,30,99,99,1,10/2/2019,11/2/2019,0
24488115,41,30,149,149,1,8/14/2019,9/14/2019,0
517128135,39,30,149,149,1,7/31/2018,9/6/2018,0
166057218,38,30,149,149,0,1/5/2019,2/7/2019,0
87430630,41,30,99,99,1,8/31/2019,9/30/2019,0
21906833,41,30,99,99,1,1/20/2019,2/20/2019,0
434492066,41,30,149,149,1,2/9/2019,3/9/2019,0
174960340,24,30,149,149,1,5/28/2018,3/28/2018,0
124866081,34,0,0,149,1,3/31/2018,4/30/2018,0
33945828,38,30,149,149,0,3/13/2019,4/12/2019,0
206317309,35,7,0,0,0,6/13/2018,6/15/2018,0
137795161,41,30,129,129,1,3/26/2019,4/26/2019,0
93434529,39,30,149,149,1,5/31/2018,7/3/2018,0
67493484,32,195,894,894,0,8/1/2018,2/15/2019,0
145908612,39,31,149,149,1,3/31/2018,5/28/2018,0
69394486,41,30,149,149,1,1/31/2020,2/28/2020,0
129343732,36,30,180,180,1,8/29/2019,10/6/2019,0
49678512,39,30,149,149,1,7/31/2018,9/2/2018,0
478919722,41,30,99,99,1,11/13/2019,12/13/2019,0
184253279,40,0,0,149,1,5/4/2018,5/2/2018,1
422647343,17,60,0,0,0,2/17/2020,2/20/2020,0
53008630,38,30,149,149,0,6/12/2018,7/12/2018,0
129808393,41,30,99,99,1,11/30/2019,12/31/2019,0
102851980,36,30,180,180,0,2/14/2020,3/16/2020,0
260835691,41,30,99,99,1,9/1/2019,10/1/2019,0
109337949,41,30,149,149,1,1/24/2018,2/24/2018,0
422341611,41,30,149,149,1,4/14/2019,5/14/2019,0
72433606,41,30,149,0,1,8/19/2018,8/31/2018,1
74082867,32,410,1788,1788,0,1/25/2019,3/13/2020,0
403094949,40,30,149,149,1,2/23/2019,3/22/2019,0
58191287,41,30,99,99,1,12/8/2018,1/8/2019,0
183233336,37,30,149,149,1,4/12/2019,5/12/2019,0
412597625,39,30,149,149,1,11/30/2019,1/18/2020,0
79200767,41,30,149,149,1,9/26/2018,10/26/2018,0
89010720,40,30,149,149,1,1/9/2019,2/8/2019,0
102185878,41,30,99,99,1,12/9/2018,1/9/2019,0
45819826,40,30,149,149,1,5/16/2019,6/15/2019,0
46132366,41,30,129,129,1,8/23/2019,9/23/2019,0
157783974,41,30,119,119,1,11/3/2018,12/4/2018,0
145231791,41,30,149,119,1,2/25/2018,3/25/2018,0
42822550,39,30,149,149,1,1/31/2019,3/5/2019,0
112363075,40,30,149,149,1,7/11/2018,8/10/2018,0
512419088,39,0,0,149,1,4/30/2018,6/24/2018,0
53457881,41,30,99,99,1,4/1/2019,5/1/2019,0
262699296,41,30,99,99,1,7/31/2019,8/31/2019,0
499168629,31,30,149,149,1,6/30/2019,7/31/2019,0
100092126,41,30,99,99,1,10/22/2019,11/22/2019,0
35981717,41,30,129,129,1,3/24/2018,4/25/2018,0
102348792,41,30,149,0,1,3/19/2019,3/19/2019,1
129372278,34,30,149,149,1,2/28/2020,3/31/2020,0
136894742,41,30,149,149,1,8/20/2019,9/20/2019,0
179406364,41,30,149,149,1,6/10/2018,7/10/2018,0
86634062,34,30,149,149,1,1/31/2019,2/28/2019,0
57413515,41,30,99,99,1,1/31/2020,3/1/2020,0
106102980,41,30,149,149,1,1/3/2020,2/17/2020,0
40170801,41,30,149,0,1,3/5/2019,3/5/2019,1
278895612,35,7,0,0,0,7/16/2019,7/21/2019,0
508638827,41,30,99,99,1,6/6/2019,7/6/2019,0
74873055,32,180,699,699,0,3/26/2019,9/22/2019,0
123019778,38,30,149,149,0,3/11/2018,4/10/2018,0
58083709,29,30,180,180,0,11/6/2019,12/6/2019,0
133836098,41,30,149,149,1,10/23/2019,11/23/2019,0
139636083,41,30,99,99,1,1/3/2020,2/3/2020,0
37658826,41,30,99,99,1,11/14/2018,12/14/2018,0
187108287,35,7,0,0,0,12/15/2018,12/15/2018,0
102281120,33,30,149,149,1,8/31/2019,10/4/2019,0
170920867,38,30,149,149,0,2/17/2018,3/19/2018,0
41859938,41,30,149,149,1,7/7/2019,8/8/2019,0
58383015,34,0,0,149,1,10/31/2018,11/30/2018,0
95902037,41,30,99,99,1,4/6/2019,5/6/2019,0
50233554,41,30,99,99,1,1/9/2019,2/9/2019,0
153667612,32,180,536,536,0,8/15/2018,2/18/2019,0
103927992,41,30,129,129,1,1/19/2019,2/20/2019,0
89923634,41,30,149,149,1,1/20/2018,2/20/2018,0
407239356,39,31,149,149,1,2/28/2018,4/19/2018,0
149077972,37,30,149,149,1,3/8/2019,4/8/2019,0
488914617,41,30,149,119,1,9/7/2018,10/7/2018,0
445883884,27,30,149,149,1,7/6/2019,8/5/2019,0
174698461,41,30,99,99,1,2/19/2020,3/19/2020,0
59165398,41,30,149,149,1,3/13/2019,4/13/2019,0
414355383,40,30,149,149,1,9/21/2018,10/23/2018,0
256684914,23,30,149,149,1,2/29/2020,3/31/2020,0
21597876,38,30,149,149,0,6/28/2019,8/24/2019,0
189444280,36,30,180,180,0,12/8/2019,1/9/2020,0
15024,31,30,149,149,1,6/30/2019,7/31/2019,0
94383948,39,31,149,149,1,1/31/2018,3/7/2018,0
54680865,41,30,99,99,1,8/24/2019,9/24/2019,0
40849030,41,30,149,149,1,12/25/2018,1/25/2019,0
103248319,38,30,149,149,0,3/14/2018,4/19/2018,0
17094,41,30,149,149,1,2/7/2019,5/15/2019,0
198462743,40,31,149,149,1,1/19/2018,2/18/2018,0
46942303,41,30,99,99,1,5/23/2019,6/23/2019,0
148999481,37,31,149,149,1,4/18/2018,5/17/2018,0
132838230,40,30,149,149,1,9/3/2019,10/2/2019,0
135728623,38,30,149,149,0,1/3/2018,2/3/2018,0
38470354,35,7,0,0,0,8/26/2019,8/31/2019,0
418032383,40,30,149,149,1,5/11/2019,6/10/2019,0
104231538,40,30,149,149,1,1/13/2020,2/12/2020,0
78145442,41,30,129,129,1,10/26/2018,11/27/2018,0
74715682,41,30,149,119,1,9/21/2018,10/21/2018,0
166936692,41,30,99,99,1,3/5/2019,4/5/2019,0
124419631,34,30,149,149,1,9/30/2019,10/31/2019,0
75511196,38,30,149,149,0,8/5/2019,9/4/2019,0
181077267,41,30,99,99,1,11/3/2019,12/3/2019,0
493777229,41,30,149,149,1,8/31/2018,9/30/2018,0
24582351,39,30,149,149,1,8/31/2018,9/30/2018,0
165701410,39,30,149,149,1,9/30/2018,11/18/2018,0
36409700,41,30,99,99,1,9/30/2019,10/31/2019,0
500073654,41,30,149,149,1,2/3/2020,3/3/2020,0
39569560,41,30,99,99,1,8/15/2019,9/15/2019,0
71255503,41,30,129,129,1,1/5/2019,2/5/2019,0
64784563,38,30,149,149,0,10/29/2019,11/28/2019,0
432657767,41,30,99,99,1,1/18/2020,2/18/2020,0
170400415,40,30,149,149,1,7/18/2018,7/16/2018,1
30211877,41,30,99,99,1,1/22/2020,2/22/2020,0
106911238,39,31,149,149,1,1/31/2018,3/14/2018,0
412664176,41,30,149,0,1,11/15/2018,11/15/2018,1
97268231,40,30,149,149,1,8/7/2019,9/7/2019,0
159379192,41,30,149,149,1,12/22/2018,1/23/2019,0
212708646,41,30,99,99,1,10/17/2019,11/17/2019,0
13555,39,30,149,149,1,8/31/2019,10/19/2019,0
43785763,39,31,149,149,1,2/28/2018,4/17/2018,0
197481067,40,30,149,149,1,10/22/2019,11/21/2019,0
270703749,38,30,149,149,0,9/22/2018,10/22/2018,0
13781,41,30,99,99,1,4/19/2019,5/19/2019,0
110756901,41,30,149,149,1,1/12/2018,2/12/2018,0
17466,41,30,99,99,1,1/4/2019,2/4/2019,0
88999110,34,0,0,149,1,10/31/2018,11/30/2018,0
211018145,36,30,150,150,0,10/6/2018,11/5/2018,0
66796497,41,30,99,99,1,1/2/2019,2/2/2019,0
15104,41,30,99,99,1,1/20/2020,2/19/2020,0
29992214,37,30,149,149,1,9/2/2018,10/2/2018,0
68846684,31,0,0,149,1,9/30/2018,10/31/2018,0
124880988,41,30,99,99,1,12/7/2018,1/7/2019,0
185618477,40,30,149,149,1,4/20/2019,4/22/2019,1
26594329,36,30,180,180,1,11/28/2019,12/27/2019,0
118141572,38,30,149,149,0,10/30/2018,11/29/2018,0
208048163,39,30,149,149,1,12/31/2019,3/2/2020,0
